IdBoutique,IdGeographie,Boutique,Status,Type,Surface,Employee,CloseReason
1,693,Contoso Seattle No.1 Store,On,Store,462,17,
2,693,Contoso Seattle No.2 Store,On,Store,700,25,
3,856,Contoso Kennewick Store,On,Store,680,26,
4,424,Contoso Bellevue Store,On,Store,455,19,
5,677,Contoso Redmond Store,On,Store,560,33,
6,575,Contoso Yakima Store,On,Store,1125,47,
7,838,Contoso Granger Store,On,Store,500,22,
8,935,Contoso Sunnyside Store,On,Store,460,17,
9,941,Contoso Toppenish Store,On,Store,700,25,
10,947,Contoso Wapato Store,On,Store,700,25,
11,813,Contoso Cle Elum Store,On,Store,680,26,
12,893,Contoso North Bend Store,Off,Store,455,19,Relocation
13,930,Contoso Snoqualmie Store,On,Store,560,33,
14,825,Contoso Fall City Store,On,Store,1125,47,
15,678,Contoso Renton Store,On,Store,500,22,
16,627,Contoso Everett Store,On,Store,462,17,
17,551,Contoso Spokane Store,On,Store,700,25,
18,944,Contoso Veradale Store,On,Store,680,26,
19,812,Contoso Cheney Store,Off,Store,455,19,Store
20,824,Contoso Englewood Store,On,Store,560,33,
21,950,Contoso Wheat Ridge Store,On,Store,1125,47,
22,571,Contoso Westminster Store,On,Store,500,22,
23,836,Contoso Grand Junction Store,On,Store,460,17,
24,887,Contoso New Castle Store,On,Store,700,25,
25,839,Contoso Greeley  No.1 Store,On,Store,700,25,
26,867,Contoso Loveland Store,On,Store,680,26,
27,859,Contoso Lafayette Store,On,Store,455,19,
28,809,Contoso Castle Rock Store,On,Store,560,33,
29,927,Contoso Sedalia Store,Off,Store,1125,47,Relocation
30,829,Contoso Fort Collins Store,On,Store,500,22,
31,839,Contoso Greeley No.2 Store,On,Store,462,17,
32,877,Contoso Milliken Store,On,Store,700,25,
33,799,Contoso Berthoud Store,On,Store,680,26,
34,818,Contoso Denver No.1 Store,On,Store,680,26,
35,818,Contoso Denver No.2 Store,On,Store,455,19,
36,818,Contoso Denver No.3 Store,On,Store,560,33,
37,803,Contoso Boulder Store,On,Store,1125,47,
38,940,Contoso Thornton Store,On,Store,500,22,
39,865,Contoso Littleton Store,On,Store,462,17,
40,790,Contoso Aurora Store,On,Store,700,25,
41,904,Contoso Parker Store,On,Store,680,26,
42,840,Contoso Green Bay Store,On,Store,455,19,
43,786,Contoso Appleton Store,On,Store,560,33,
44,874,Contoso Menasha Store,On,Store,1125,47,
45,901,Contoso Oshkosh Store,On,Store,500,22,
46,827,Contoso Fond du Lac Store,On,Store,460,17,
47,878,Contoso Milwaukee No.1 Store,On,Store,700,25,
48,878,Contoso Milwaukee No.2 Store,Off,Store,700,25,Relocation
49,878,Contoso Milwaukee No.3 Store,On,Store,680,26,
50,949,Contoso Waukesha No.1 Store,On,Store,455,19,
51,918,Contoso Racine No.1 Store,On,Store,560,33,
52,806,Contoso Burlington Store,On,Store,1125,47,
53,821,Contoso East Troy Store,On,Store,500,22,
54,949,Contoso Waukesha No.2 Store,On,Store,462,17,
55,835,Contoso Germantown Store,On,Store,700,25,
57,913,Contoso Port Washington Store,On,Store,680,26,
58,928,Contoso Sheboygan Store,On,Store,455,19,
59,871,Contoso Manitowoc Store,On,Store,560,33,
60,870,Contoso Madison Store,On,Store,1125,47,
61,898,Contoso Oregon Store,On,Store,500,22,
62,934,Contoso Stoughton Store,Off,Store,462,17,Relocation
63,822,Contoso Edgerton Store,On,Store,700,25,
64,828,Contoso Fort Atkinson Store,On,Store,680,26,
65,918,Contoso Racine No.2 Store,On,Store,455,19,
66,849,Contoso Houston No.1 Store,On,Store,560,33,
67,849,Contoso Houston No.2 Store,On,Store,1125,47,
68,849,Contoso Houston No.3 Store,On,Store,500,22,
69,849,Contoso Houston No.4 Store,On,Store,460,17,
70,876,Contoso Midland Store,On,Store,700,25,
71,924,Contoso Russellville Store,On,Store,700,25,
72,879,Contoso Minden Store,On,Store,680,26,
73,929,Contoso Shreveport Store,On,Store,455,19,
74,872,Contoso Marshall Store,On,Store,560,33,
75,866,Contoso Longview Store,On,Store,1125,47,
76,798,Contoso Beaumont No.1 Store,On,Store,500,22,
77,897,Contoso Orange Store,On,Store,462,17,
78,798,Contoso Beaumont No.2 Store,On,Store,700,25,
79,579,Contoso Baytown Store,On,Store,680,26,
80,858,Contoso La Porte Store,On,Store,680,26,
81,793,Contoso Bacliff Store,On,Store,455,19,
82,939,Contoso Texas City Store,On,Store,560,33,
83,906,Contoso Pasadena Store,On,Store,1125,47,
84,851,Contoso Humble Store,Off,Store,500,22,Relocation
85,933,Contoso Spring Store,On,Store,462,17,
86,791,Contoso Austin Store,On,Store,700,25,
87,925,Contoso San Antonio Store,On,Store,680,26,
88,453,Contoso Cedar Park Store,On,Store,455,19,
89,923,Contoso Round Rock Store,On,Store,560,33,
90,815,Contoso Dallas Store,On,Store,1125,47,
91,834,Contoso Georgetown Store,On,Store,500,22,
92,845,Contoso Hillsboro Store,On,Store,460,17,
93,787,Contoso Arlington Store,On,Store,700,25,
94,837,Contoso Grand Prairie Store,On,Store,700,25,
95,819,Contoso Desoto Store,On,Store,680,26,
96,919,Contoso Richardson Store,On,Store,455,19,
97,863,Contoso Lewisville Store,On,Store,560,33,
98,817,Contoso Denton Store,On,Store,1125,47,
99,831,Contoso Fort Worth Store,On,Store,500,22,
100,910,Contoso Plano Store,On,Store,462,17,
101,875,Contoso Miami No.1 Store,On,Store,462,17,
102,875,Contoso Miami No.2 Store,On,Store,700,25,
103,853,Contoso Jacksonville Store,On,Store,680,26,
104,937,Contoso Tallahassee No.1 Store,On,Store,455,19,
105,937,Contoso Tallahassee No.2 Store,On,Store,560,33,
107,926,Contoso Sebring Store,On,Store,500,22,
108,860,Contoso Lakeland Store,On,Store,460,17,
109,830,Contoso Fort Lauderdale Store,On,Store,700,25,
110,899,Contoso Orlando Store,On,Store,700,25,
111,938,Contoso Tampa Store,On,Store,680,26,
112,857,Contoso Key West Store,Off,Store,455,19,Relocation
113,807,Contoso Cape Canaveral Store,On,Store,560,33,
114,782,Contoso Albany Store,On,Store,1125,47,
115,890,Contoso New York No.1 Store,On,Store,500,22,
116,922,Contoso Rochester No.1 Store,On,Store,462,17,
117,890,Contoso New York No.2 Store,On,Store,700,25,
118,936,Contoso Syracuse Store,On,Store,680,26,
119,805,Contoso Buffalo Store,Off,Store,455,19,Store
120,911,Contoso Plattsburgh Store,On,Store,560,33,
121,804,Contoso Brooklyn Store,On,Store,1125,47,
122,902,Contoso Oswego Store,On,Store,500,22,
123,852,Contoso Ithaca Store,On,Store,460,17,
124,922,Contoso Rochester No.2 Store,On,Store,700,25,
125,916,Contoso Queens Store,On,Store,700,25,
126,823,Contoso Elmira Store,On,Store,680,26,
127,912,Contoso Poestenkill Store,On,Store,455,19,
128,943,Contoso Trenton No.1 Store,On,Store,560,33,
129,943,Contoso Trenton No.2 Store,Off,Store,1125,47,Relocation
130,891,Contoso Newark No.1 Store,On,Store,500,22,
131,891,Contoso Newark No.2 Store,On,Store,462,17,
132,854,Contoso Jersey City Store,On,Store,700,25,
133,908,Contoso Paterson Store,On,Store,680,26,
134,814,Contoso Clifton Store,On,Store,680,26,
135,820,Contoso East Orange Store,On,Store,455,19,
136,907,Contoso Passaic Store,On,Store,560,33,
137,797,Contoso Bayonne Store,On,Store,1125,47,
138,945,Contoso Vineland Store,On,Store,500,22,
139,886,Contoso New Brunswick Store,On,Store,462,17,
140,842,Contoso Hackensack Store,On,Store,700,25,
141,788,Contoso Atlantic City Store,On,Store,680,26,
142,880,Contoso Montclair Store,On,Store,455,19,
143,847,Contoso Hoboken Store,On,Store,560,33,
144,882,Contoso Morristown Store,On,Store,1125,47,
145,808,Contoso Cape May Store,On,Store,500,22,
146,802,Contoso Boston Store,On,Store,460,17,
147,952,Contoso Worcester No.1 Store,On,Store,700,25,
148,952,Contoso Worcester No.2 Store,Off,Store,700,25,Relocation
149,885,Contoso New Bedford Store,On,Store,680,26,
150,789,Contoso Attleboro Store,On,Store,455,19,
151,868,Contoso Lowell Store,On,Store,560,33,
152,861,Contoso Leominster Store,On,Store,1125,47,
153,846,Contoso Hingham Store,On,Store,500,22,
154,917,Contoso Quincy Store,On,Store,462,17,
155,832,Contoso Framingham Store,On,Store,700,25,
156,449,Contoso Cambridge Store,On,Store,680,26,
157,931,Contoso Somerville Store,On,Store,680,26,
158,844,Contoso Haverhill Store,On,Store,455,19,
159,869,Contoso Lynn Store,On,Store,560,33,
160,895,Contoso Northampton Store,On,Store,1125,47,
161,848,Contoso Holyoke Store,On,Store,500,22,
162,909,Contoso Pittsfield Store,Off,Store,462,17,Relocation
163,826,Contoso Falmouth Store,On,Store,700,25,
164,914,Contoso Provincetown Store,On,Store,680,26,
165,883,Contoso Nantucket Store,On,Store,455,19,
166,795,Contoso Bangor Store,On,Store,560,33,
167,796,Contoso Bar Harbor Store,On,Store,1125,47,
168,855,Contoso Kennebunkport Store,On,Store,500,22,
169,862,Contoso Lewiston Store,On,Store,460,17,
170,900,Contoso Orono Store,On,Store,700,25,
171,932,Contoso South Portland Store,On,Store,700,25,
172,843,Contoso Hartford Store,On,Store,680,26,
173,801,Contoso Bridgeport Store,On,Store,455,19,
174,948,Contoso Waterbury Store,On,Store,560,33,
175,896,Contoso Old Saybrook Store,On,Store,1125,47,
176,816,Contoso Darien Store,On,Store,500,22,
177,888,Contoso New Haven Store,On,Store,462,17,
178,864,Contoso Litchfield County Store,On,Store,700,25,
179,889,Contoso New London Store,On,Store,680,26,
180,892,Contoso Norfolk Store,On,Store,680,26,
181,946,Contoso Virginia Beach Store,On,Store,455,19,
182,951,Contoso Winchester Store,On,Store,560,33,
183,784,Contoso Anchorage Store,On,Store,1125,47,
184,783,Contoso Alexandria Store,Off,Store,500,22,Relocation
185,921,Contoso Roanoke Store,On,Store,462,17,
186,811,Contoso Charlottesville Store,On,Store,700,25,
187,833,Contoso Fredericksburg Store,On,Store,680,26,
188,873,Contoso Martinsville Store,On,Store,455,19,
189,841,Contoso Greenville Store,On,Store,560,33,
190,810,Contoso Charleston Store,On,Store,1125,47,
191,785,Contoso Annapolis Store,On,Store,500,22,
192,794,Contoso Baltimore Store,On,Store,460,17,
193,850,Contoso Howard Store,On,Store,700,25,
194,920,Contoso Ridgely Store,On,Store,700,25,
195,915,Contoso Queen Anne's County Store,On,Store,680,26,
196,905,Contoso Parkville Store,On,Store,455,19,
197,792,Contoso Back River Store,On,Store,560,33,
198,835,Contoso North Harford Store,On,Store,1125,47,
199,800,Contoso North America Online Store,On,Online,500,325,
200,894,Contoso Catalog Store,On,Catalog,462,120,
201,506,Contoso London Store,On,Store,462,17,
202,748,Contoso Edinburgh Store,On,Store,700,25,
203,751,Contoso Glasgow Store,On,Store,680,26,
204,576,Contoso York Store,On,Store,680,78,
205,742,Contoso Carlisle Store,On,Store,680,23,
206,761,Contoso Manchester Store,On,Store,680,11,
207,755,Contoso Lancashire Store,On,Store,680,36,
208,781,Contoso West Yorkshire Store,On,Store,680,90,
209,738,Contoso Baildon Store,On,Store,680,32,
210,743,Contoso Cheshire Store,On,Store,680,,
211,774,Contoso Stockport Store,On,Store,680,34,
212,651,Contoso Liverpool Store,On,Store,680,64,
213,753,Contoso Knotty Ash Store,On,Store,680,24,
214,501,Contoso Leeds Store,On,Store,680,25,
215,529,Contoso Paris Store,On,Store,680,12,
216,762,Contoso Marseille Store,On,Store,680,13,
217,759,Contoso Lyon Store,On,Store,680,15,
218,777,Contoso Toulouse Store,On,Store,680,23,
219,767,Contoso Nice Store,On,Store,680,32,
220,766,Contoso Nantes Store,On,Store,680,11,
221,775,Contoso Strasbourg Store,On,Store,630,10,
222,771,Contoso Roma Store,On,Store,490,43,
223,779,Contoso Venezia Store,On,Store,500,11,
224,749,Contoso Firenze Store,On,Store,500,45,
225,776,Contoso Torino Store,On,Store,500,24,
226,763,Contoso Milan Store,On,Store,500,23,
227,884,Contoso Naples Store,On,Store,500,13,
228,586,Contoso Berlin Store,On,Store,500,13,
230,754,Contoso koln No.2 Store,On,Store,500,25,
231,752,Contoso Hofheim Store,On,Store,500,25,
232,754,Contoso koln No.1 Store,On,Store,500,35,
233,756,Contoso Landstuhl Store,On,Store,500,21,
234,747,Contoso Dusseldorf Store,On,Store,500,24,
235,770,Contoso Ramstein Store,On,Store,500,15,
236,739,Contoso Baumholder Store,On,Store,500,28,
237,750,Contoso Giebelstadt Store,On,Store,500,15,
238,769,Contoso obamberg Store,On,Store,500,29,
239,765,Contoso Munich Store,On,Store,500,18,
240,736,Contoso Amsterdam Store,On,Store,680,26,
241,745,Contoso Copenhagen Store,On,Store,680,25,
242,773,Contoso Stockholm Store,On,Store,680,33,
243,760,Contoso Madrid Store,On,Store,680,35,
244,758,Contoso Ljubljana Store,On,Store,680,36,
245,741,Contoso Bucharest Store,On,Store,680,25,
246,740,Contoso Berne Store,On,Store,680,53,
247,780,Contoso Warsaw Store,On,Store,680,15,
248,778,Contoso Valletta Store,On,Store,680,42,
249,746,Contoso Dublin Store,On,Store,680,55,
250,737,Contoso Athens Store,On,Store,680,15,
251,728,Contoso Singapore Store,On,Store,480,27,
252,713,Contoso Canberra Store,On,Store,480,28,
253,558,Contoso Sydney No.1 Store,On,Store,480,20,
254,734,Contoso Yerevan Store,On,Store,480,15,
255,723,Contoso New Delhi Store,On,Store,480,29,
256,721,Contoso Mumbai Store,On,Store,480,35,
257,718,Contoso Kolkata Store,On,Store,480,35,
258,731,Contoso Thimphu No.1 Store,On,Store,480,35,
259,716,Contoso Hong Kong No.1 Store,On,Store,480,35,
260,730,Contoso Tehran No.1 Store,On,Store,480,35,
261,714,Contoso Damascus No.1 Store,On,Store,480,35,
262,709,Contoso Bangkok No.1 Store,On,Store,480,62,
263,764,Contoso Moscow  No.1 Store,On,Store,480,65,
264,708,Contoso Ashgabat No.1 Store,On,Store,480,68,
265,717,Contoso Islamabad No.1 Store,On,Store,480,71,
267,732,Contoso Tokyo No.1 Store,On,Store,480,68,
268,732,Contoso Tokyo No.2 Store,On,Store,480,68,
269,735,Contoso Yokohama Store,On,Store,480,77,
270,724,Contoso Osaka No.1 Store,On,Store,480,80,
271,722,Contoso Nagoya Store,On,Store,480,50,
272,725,Contoso Sapporo Store,On,Store,480,50,
273,719,Contoso Kyoto Store,On,Store,480,50,
274,726,Contoso Seoul Store,On,Store,480,50,
275,712,Contoso Busan Store,On,Store,480,50,
276,711,Contoso Bishkek Store,On,Store,480,50,
277,727,Contoso Shanghai No.1 Store,On,Store,480,95,
278,733,Contoso Urumqi Store,On,Store,480,50,
279,710,Contoso Beijing Store,On,Store,480,86,
280,715,Contoso Guangzhou Store,On,Store,480,131,
281,727,Contoso Shanghai No.2 Store,On,Store,480,95,
282,903,Contoso Ottawa No.1 Store,On,Store,480,95,
283,903,Contoso Ottawa No.2 Store,On,Store,480,95,
284,942,Contoso Toronto No.1 Store,On,Store,480,95,
285,942,Contoso Toronto No.2 Store,On,Store,480,95,
286,942,Contoso Toronto No.3 Store,On,Store,480,95,
287,881,Contoso Montreal No.1 Store,On,Store,480,95,
288,881,Contoso Montreal No.2 Store,On,Store,480,95,
289,562,Contoso Vancouver  No.1 Store,On,Store,480,95,
290,562,Contoso Vancouver  No.2 Store,On,Store,480,95,
291,598,Contoso Calgary  Store,On,Store,480,95,
292,731,Contoso Thimphu No.2 Store,On,Store,480,95,
293,716,Contoso Hong Kong No.2 Store,On,Store,480,95,
294,730,Contoso Tehran No.2 Store,On,Store,480,95,
295,714,Contoso Damascus No.2 Store,On,Store,480,95,
296,709,Contoso Bangkok No.2 Store,On,Store,480,95,
297,764,Contoso Moscow  No.2 Store,On,Store,480,95,
298,708,Contoso Ashgabat  No.2 Store,On,Store,480,95,
299,717,Contoso Islamabad  No.2 Store,On,Store,480,95,
300,558,Contoso Sydney  No.2 Store,On,Store,480,95,
301,724,Contoso Osaka No.2 Store,On,Store,480,95,
302,729,Contoso Taipei  Store,On,Store,480,95,
303,757,Contoso Lisbon Store,On,Store,480,95,
304,772,Contoso Saint Petersburg Store,On,Store,480,95,
305,768,Contoso Nizhny Novgorod Store,On,Store,480,95,
306,586,Contoso Europe Online Store,On,Online,1000,7,
307,710,Contoso Asia Online Store,On,Online,93800,8,
308,693,Contoso North America Reseller,On,Reseller,450,15,
309,529,Contoso Europe Reseller,On,Reseller,551,12,
310,710,Contoso Asia Reseller,On,Reseller,93800,17,
